diyar-production-nginx-1,0.00%,4.738MiB / 11.68GiB,19.5MB / 20.2MB
diyar-production-app-1,1.12%,154.1MiB / 11.68GiB,18.4MB / 25.7MB
diyar-production-reverb-2-1,0.02%,37.36MiB / 11.68GiB,10kB / 21.1kB
diyar-production-reverb-1-1,0.04%,37.56MiB / 11.68GiB,10.2kB / 21.1kB
diyar-production-scheduler-1,0.00%,8.57MiB / 11.68GiB,12.3MB / 6.75MB
diyar-production-queue-critical-1,0.09%,34.93MiB / 11.68GiB,1.71MB / 15.5MB
diyar-production-queue-default-1,0.19%,34.98MiB / 11.68GiB,4.02MB / 43.9MB
diyar-production-mysql-1,3.65%,463.6MiB / 11.68GiB,6.43MB / 15.6MB
diyar-production-redis-1,0.65%,11.11MiB / 11.68GiB,574MB / 72.6MB
