diyar-production-nginx-1,0.00%,5.836MiB / 11.68GiB,356MB / 365MB
diyar-production-app-1,1.14%,156.5MiB / 11.68GiB,329MB / 452MB
diyar-production-reverb-2-1,0.00%,37.64MiB / 11.68GiB,16.4kB / 32.6kB
diyar-production-reverb-1-1,0.00%,37.41MiB / 11.68GiB,16.6kB / 32.6kB
diyar-production-scheduler-1,0.00%,8.137MiB / 11.68GiB,12.5MB / 6.83MB
diyar-production-queue-critical-1,0.11%,34.67MiB / 11.68GiB,1.9MB / 17.2MB
diyar-production-queue-default-1,0.19%,34.64MiB / 11.68GiB,4.46MB / 48.7MB
diyar-production-mysql-1,0.58%,464.5MiB / 11.68GiB,6.82MB / 16.3MB
diyar-production-redis-1,0.65%,27.12MiB / 11.68GiB,713MB / 340MB
