diyar-production-nginx-1,1.83%,5.531MiB / 11.68GiB,138MB / 142MB
diyar-production-app-1,1.31%,153.4MiB / 11.68GiB,132MB / 179MB
diyar-production-reverb-2-1,0.00%,37.06MiB / 11.68GiB,13.4kB / 27.3kB
diyar-production-reverb-1-1,0.00%,37.08MiB / 11.68GiB,13.5kB / 27.3kB
diyar-production-scheduler-1,0.00%,8.129MiB / 11.68GiB,12.4MB / 6.8MB
diyar-production-queue-critical-1,0.11%,34.92MiB / 11.68GiB,1.81MB / 16.5MB
diyar-production-queue-default-1,0.23%,34.89MiB / 11.68GiB,4.25MB / 46.5MB
diyar-production-mysql-1,0.53%,464MiB / 11.68GiB,6.67MB / 16MB
diyar-production-redis-1,0.78%,18.5MiB / 11.68GiB,628MB / 171MB
